orbit_lengths	representatives
2,2,4,4,4,4,4,8,8,8,8,8,8,16,32	103
2,2,8,8,8,8,12,16,24,32	102
1,1,1,1,4,4,4,8,8,8,16,16,16,32	101
12,12,48,48	100
2,2,2,2,4,4,4,6,6,6,6,12,32,32	100
2,2,4,4,4,4,4,4,4,4,4,4,4,8,32,32	100
4,6,6,8,8,24,32,32	100
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	99
4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,16	99
1,1,6,24,24,64	98
2,2,2,2,8,8,8,8,8,8,16,16,32	98
2,2,4,4,4,4,4,16,16,64	98
2,6,16,48,48	98
4,4,4,4,4,4,8,8,8,8,8,8,8,8,32	98
8,8,8,24,24,48	98
2,2,4,4,4,4,4,4,4,4,4,4,4,8,16,16,16,16	97
2,2,4,4,8,8,12,16,32,32	97
2,6,8,8,12,12,24,24,24	97
2,2,2,2,4,8,12,24,32,32	96
4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,16,16	96
2,2,2,2,2,2,4,4,4,4,4,8,8,8,32,32	95
4,4,16,48,48	95
2,2,2,2,2,2,4,8,8,8,8,8,8,8,16,16,16	94
1,1,2,2,2,16,16,16,64	93
2,2,2,2,2,2,4,8,8,8,8,8,64	93
2,2,2,2,4,12,16,16,32,32	93
8,32,32,48	93
4,4,4,4,4,4,4,4,4,4,4,4,8,64	92
48,72	92
2,2,2,2,4,8,12,16,16,24,32	91
4,4,8,8,24,24,24,24	91
1,1,1,1,4,4,4,4,4,32,32,32	90
1,1,2,2,2,4,4,8,16,16,64	90
2,2,4,4,6,6,8,12,12,16,16,32	90
4,4,12,12,16,24,48	90
4,4,4,4,4,8,8,12,12,12,16,16,16	90
4,8,8,8,8,12,16,16,16,24	90
2,2,4,4,8,8,8,12,16,24,32	89
12,12,24,24,48	87
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	87
2,2,4,4,8,8,12,16,64	86
2,2,2,2,16,16,16,16,16,16,16	85
2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,16	85
2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8	85
4,4,4,4,4,12,12,12,16,48	85
4,4,4,4,4,12,12,12,64	85
2,2,8,8,8,8,12,24,24,24	84
4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,16	84
4,6,6,8,8,8,8,24,24,24	84
1,1,2,8,12,16,16,64	83
4,4,4,6,6,8,24,32,32	83
2,2,2,2,2,2,2,2,8,8,8,8,8,16,16,16,16	81
2,2,2,2,4,4,4,4,4,4,4,4,8,8,16,16,32	81
2,2,2,2,4,4,4,6,6,6,6,8,8,12,24,24	81
2,2,4,4,4,4,4,8,8,8,8,64	81
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16	80
8,8,8,8,8,8,8,8,8,8,8,16,16	80
2,2,4,4,4,4,6,6,8,8,12,12,24,24	79
2,6,6,8,8,12,12,18,24,24	79
8,12,12,12,12,16,48	78
2,2,4,4,4,4,8,8,12,12,12,16,16,16	77
2,2,4,4,8,12,12,12,16,16,16,16	77
24,24,24,24,24	77
4,4,8,8,12,12,12,12,24,24	77
8,12,12,12,12,64	77
1,1,1,1,2,2,4,4,4,4,4,4,8,8,8,16,16,16,16	76
1,1,1,1,4,4,4,8,16,16,16,16,16,16	76
4,4,8,8,48,48	76
1,1,1,1,2,2,4,4,4,4,16,16,16,16,32	75
1,1,2,4,16,32,32,32	75
2,2,2,2,2,2,2,2,4,4,8,8,8,8,8,8,8,8,16,16	75
2,2,4,4,4,4,4,4,6,6,8,12,12,12,12,12,12	75
2,2,4,4,6,6,8,12,12,16,16,16,16	75
1,1,1,1,4,4,4,4,4,16,16,16,16,32	74
1,1,2,4,4,4,8,8,8,8,8,64	74
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,16,16,16,16	74
2,2,4,4,12,32,64	74
2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,32	74
2,2,4,4,4,4,6,6,12,12,32,32	74
2,4,12,12,12,18,24,36	74
1,1,1,1,2,2,4,4,4,4,4,4,8,8,8,32,32	73
1,1,2,4,4,6,6,8,12,12,16,48	73
1,1,2,4,4,6,6,8,12,12,64	73
1,1,2,4,8,8,32,32,32	73
2,2,2,2,4,4,4,6,6,6,6,12,64	73
2,2,2,2,4,4,8,8,8,8,8,8,8,16,32	73
2,2,3,3,4,4,6,8,12,12,16,48	73
8,12,36,64	72
2,2,4,4,4,4,6,6,8,8,12,12,12,12,24	71
6,24,36,54	71
1,1,1,1,2,2,4,4,4,4,8,8,8,8,16,16,16,16	70
12,12,24,24,24,24	70
2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,16,16,16	70
2,6,6,12,12,18,32,32	70
1,1,1,1,2,2,4,4,8,8,8,16,16,16,32	69
1,1,1,1,2,2,8,8,16,16,16,16,32	69
2,12,12,12,18,32,32	69
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8	69
