rep_id	order	composition_factor_count	is_abelian	is_nonabelian_simple	structure
2575	480	4	false	false	
2576	480	4	false	false	
2577	480	4	false	false	
2578	480	4	false	false	
2579	480	4	false	false	
2580	480	4	false	false	
2581	504	1	false	true	PSL(2,8)
2664	720	4	false	false	
2668	240	3	false	false	
2669	240	3	false	false	
2688	360	3	false	false	
2689	360	3	false	false	
2690	360	3	false	false	
2691	360	3	false	false	
2694	480	4	false	false	
2696	600	3	false	false	
2697	600	3	false	false	
2701	720	4	false	false	
2702	720	2	false	false	
2703	720	2	false	false	
2704	720	2	false	false	
2705	720	4	false	false	
2706	720	4	false	false	
2707	720	4	false	false	
2708	720	4	false	false	
2709	720	4	false	false	
2710	720	4	false	false	
2711	720	4	false	false	
2717	720	4	false	false	
2718	720	4	false	false	
2724	1080	4	false	false	
2725	1080	4	false	false	
2726	1080	4	false	false	
2727	1080	2	false	false	
2728	1080	4	false	false	
2729	1080	4	false	false	
2730	1080	4	false	false	
2731	1080	4	false	false	
2732	1080	4	false	false	
2733	1080	4	false	false	
2734	1080	4	false	false	
2785	1440	3	false	false	
2786	1440	3	false	false	
2787	1440	3	false	false	
2788	1440	3	false	false	
2797	480	4	false	false	
2799	480	4	false	false	
2801	720	4	false	false	
2802	720	4	false	false	
2803	720	4	false	false	
2804	720	4	false	false	
2805	720	4	false	false	
2810	960	5	false	false	
2861	1200	4	false	false	
2862	1200	4	false	false	
2863	1440	3	false	false	
2864	1440	3	false	false	
2865	1440	3	false	false	
2866	1440	3	false	false	
2867	1440	3	false	false	
2868	1440	5	false	false	
2869	1440	5	false	false	
2925	2160	3	false	false	
2926	2160	3	false	false	
2927	2160	3	false	false	
2928	2160	3	false	false	
2929	2160	3	false	false	
2930	2160	3	false	false	
2931	2160	3	false	false	
2936	2160	3	false	false	
2937	2160	3	false	false	
2938	2160	3	false	false	
3001	336	2	false	false	
3006	2520	1	false	true	A7
3007	3240	3	false	false	
3097	168	1	false	true	PSL(3,2)
3153	240	3	false	false	
3154	240	3	false	false	
3155	240	3	false	false	
3156	240	3	false	false	
3204	336	2	false	false	
3205	336	2	false	false	
3206	336	2	false	false	
3268	504	2	false	false	
3269	504	2	false	false	
3270	504	1	false	true	PSL(2,8)
3342	480	4	false	false	
3356	720	2	false	false	
3357	720	2	false	false	
3358	720	4	false	false	
3359	720	4	false	false	
3360	720	4	false	false	
3361	720	4	false	false	
3362	720	4	false	false	
3363	720	4	false	false	
3403	960	5	false	false	
3404	960	5	false	false	
3405	960	5	false	false	
3406	960	5	false	false	
3407	960	5	false	false	
3408	960	5	false	false	
3409	960	5	false	false	
3410	960	5	false	false	
3411	960	5	false	false	
3412	960	5	false	false	
3413	960	5	false	false	
3414	960	5	false	false	
3415	960	5	false	false	
3416	960	5	false	false	
3417	960	5	false	false	
3418	960	5	false	false	
3419	960	5	false	false	
3420	960	5	false	false	
3421	960	5	false	false	
3422	960	5	false	false	
3423	960	5	false	false	
3424	960	5	false	false	
3425	960	5	false	false	
3426	960	5	false	false	
3427	960	5	false	false	
3428	960	5	false	false	
3429	960	5	false	false	
3430	960	5	false	false	
3444	1200	4	false	false	
3445	1200	4	false	false	
3446	1200	4	false	false	
3448	1440	5	false	false	
3449	1440	5	false	false	
3450	1440	5	false	false	
3451	1440	5	false	false	
3452	1440	5	false	false	
3453	1440	5	false	false	
3454	1440	5	false	false	
3455	1440	5	false	false	
3456	1440	5	false	false	
3457	1440	5	false	false	
3458	1440	5	false	false	
3476	120	2	false	false	
3477	120	2	false	false	
3485	168	1	false	true	PSL(3,2)
3486	168	1	false	true	PSL(3,2)
3488	168	1	false	true	PSL(3,2)
3519	360	1	false	true	A6
3532	480	4	false	false	
3573	720	4	false	false	
3574	720	4	false	false	
3575	720	4	false	false	
3576	720	4	false	false	
3577	720	4	false	false	
3578	720	4	false	false	
3610	3600	2	false	false	
3661	1344	4	false	false	
3662	1344	4	false	false	
3666	1440	3	false	false	
3667	1440	3	false	false	
3668	1440	3	false	false	
3669	1440	3	false	false	
3670	1440	3	false	false	
3671	1440	3	false	false	
3672	1440	3	false	false	
3673	1440	3	false	false	
3674	1440	3	false	false	
3675	1440	3	false	false	
3686	1920	6	false	false	
3687	1920	6	false	false	
3688	1920	6	false	false	
3707	2160	3	false	false	
3708	2160	3	false	false	
3709	2160	3	false	false	
3710	2160	3	false	false	
3711	2160	3	false	false	
3712	2160	3	false	false	
3713	2160	3	false	false	
3714	2160	3	false	false	
3736	2880	4	false	false	
3737	2880	4	false	false	
3738	2880	4	false	false	
3739	2880	4	false	false	
